#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Andrei Vlad,0,0,0,0,0,0
2,,Florin Tănase,2,0.5,0,0,0,0.5
3,,Omar Govea,2,0.8,0,0.2,0,0.2
4,,Ionut Andres,1.4,1.6,0,1.4,0,0.2
5,,Nicușor Bancu,3.31,0.92,0.08,1.15,0,0.69
6,,Aymar Kevin Meleke,1,0,0,0,0,0
7,,Ciprian Deac,1.77,0.58,0,0.35,0,1.03
8,,Denis Alibec,0.71,0.06,0,0.1,0,0.58
9,,Adrian Șut,2.41,2.19,0,1.78,0.03,1.19
10,,Alexandru Păun,0.8,0,0,0.2,0,0
11,,Gustavo Vagenin,0.5,0.5,0,0,0,0.5
12,,Júnior Pius,2.11,2.44,0.11,4,0,0.44
13,,Gabriel Tamaş,1.23,1.08,0.08,5,0,0.46
14,,Dragoș Albu,2.45,0.95,0,0.95,0,1.18
15,,Florinel Coman,0.46,0.26,0,0.09,0,0.29
16,,Bogdan Vătăjelu,2.2,1.16,0,1.4,0,0.52
17,,Igor Armaș,0.95,1.76,0.03,4.5,0,0.55
18,,Cristian Bălgrădean,0,0,0,1.67,0,0
19,,Yuri Matias,1.12,1.09,0,4.09,0.06,0.18
20,,Darius Olaru,1.92,0.76,0,0.19,0,1.16
21,,Răzvan Ducan,0.22,0,0,1.56,0.11,0.11
22,,Raul Opruț,3.62,1.71,0,2.15,0,1.03
23,,Cătălin Straton,0.04,0,0,1,0.04,0
24,,Karlo Muhar,3.09,0.97,0,1.41,0,1.69
25,,Cristian Manea,1.17,1.33,0.03,1.83,0,0.47
26,,Vito Hammershøj-Mistrati,0.2,0.2,0,0.2,0,0
27,,Karlo Letica,0,0,0,0.8,0.04,0.08
28,,André Duarte,2.03,1.18,0,3.41,0.03,0.51
29,,Dan Nistor,1.19,0.28,0,0.16,0,0.91
30,,Nana Boateng,3.09,1.69,0,1.06,0.03,1.5
31,,Tudor Băluță,1.22,1.03,0,1.09,0,0.84
32,,Marko Dugandžić,0.55,0.18,0,0.53,0,0.47
33,,Octavian Popescu,1.61,0.22,0,0.08,0,0.61
34,,Ionuț Larie,1.72,1.74,0,3.49,0,0.64
35,,Valentin Crețu,3.53,1.18,0.06,1.94,0,0.65
36,,Seniko Doua,2.81,1,0.06,1,0,1.44
37,,Andrea Compagno,0.35,0.03,0,1.09,0,0.29
38,,Gabriel Mutombo,1.21,2.07,0,4.57,0.07,0.29
39,,Ionuț Stoica,1.42,1.03,0,4.19,0,0.65
40,,Rangelo Janga,0.43,0.13,0,0.47,0,0.23
41,,Vadim Rață,2.4,1,0,0.54,0,1.83
42,,Louis Munteanu,0.38,0.14,0,0.17,0,0.17
43,,Marius Ștefănescu,1.4,0.6,0,0.4,0,0.93
44,,Andrei Artean,1.98,1.6,0.03,2.03,0,0.85
45,,Paul Iacob,1.12,0.76,0,3.12,0,0.41
46,,Mihai Popescu,1.73,1.9,0.07,3.23,0.03,0.4
47,,Lorenzo Paramatti,2,1.6,0,2.4,0,0.2
48,,Mihai Aioani,0.03,0,0.03,0.82,0.03,0.03
49,,Malcom Edjouma,2.41,1.1,0,0.59,0.03,0.83
50,,Rúnar Már  Sigurjónsson,1,0.67,0,0.75,0,0.75
51,,Sota Mino,3.75,2.28,0.06,1.36,0,1.81
52,,Gjoko Zajkov,0.63,0.38,0.06,3.38,0,0.31
53,,Alexandru Chipciu,2.68,1.26,0,1.26,0,1.12
54,,Sebastian Mailat,0.89,0.36,0,0.08,0,0.75
55,,Alexandru Benga,1.53,1.63,0,4.11,0,0.26
56,,Félix Mathaus Lima Santos,2.24,1.84,0.04,5.16,0,0.64
57,,Alin Fica,0.86,0.29,0,0.57,0,0.71
58,,Mihai Popa,0.05,0,0.03,0.76,0,0.05
59,,Laurenţiu Popescu,0,0,0,0.76,0,0.06
60,,Nicolae Păun,2.64,2.08,0.03,1.19,0,1.36
61,,Dragoș Nedelcu,2.07,1.59,0,0.97,0,0.52
62,,Mario Zebić,1.27,1.45,0,3.18,0,0.45
63,,Patricio Matricardi,2.03,1.51,0.06,3.83,0,0.31
64,,George Cîmpanu,0.94,0.23,0,0.29,0.03,0.87
65,,Gabriel Enache,0.88,1.25,0,1.5,0,0.25
66,,Brendon Estevam,2.63,1,0,3.5,0,0.75
67,,Doru Popadiuc,1.06,0.44,0,0.44,0,0.47
68,,Octavian Vâlceanu,0,0,0,0.77,0,0
69,,Marian Huja,1.1,1.25,0,4.6,0,0.65
70,,Ricardinho,1.97,1.52,0,2.28,0.03,1.14
71,,Andrei Ivan,0.86,0.2,0,0.2,0,0.66
72,,Alin Şeroni,1.56,0.84,0.04,5.6,0.04,0.36
73,,Constantin Grameni,1.38,0.64,0.03,0.67,0,1.18
74,,Vlad Achim,1.62,1.34,0,1.34,0,0.83
75,,Raúl Silva,1.35,0.87,0.04,3.22,0,0.48
76,,Andrei Burcă,1.61,1.25,0.07,3.39,0,0.25
77,,Bart Meijers,2.29,1.68,0.03,4.32,0,0.61
78,,Horațiu Moldovan,0,0.03,0.05,0.97,0.08,0
79,,Risto Radunović,3.26,1.06,0.03,1.35,0,0.77
80,,Adnan Aganović,1.48,0.7,0,0.61,0,0.85
